player_id,player_name,pos,foot,birth_date,weight,height,team,gols,assistencias,soma_gol_assist
36,T. Alderweireld,DEF,right,19890302,91,187,Belgium,0,1,1
69409,Š. Vrsaljko,DEF,right,19920110,76,181,Croatia,0,1,1
70123,A. Witsel,MID,right,19890112,81,188,Belgium,0,0,0
105361,I. Strinić,DEF,left,19870717,78,186,Croatia,0,0,0
86340,C. Sánchez,MID,right,19841202,66,170,Uruguay,0,2,2
11066,R. Sterling,FWD,right,19941208,69,170,England,0,1,1
279545,L. Hernández,DEF,left,19960214,76,184,France,0,0,0
26010,O. Giroud,FWD,left,19860930,88,192,France,0,1,1
26518,C. Sánchez,MID,right,19860206,80,182,Colombia,0,2,2
31528,N. Kanté,MID,right,19910329,68,168,France,0,0,0
361807,R. Bentancur,MID,right,19970625,73,185,Uruguay,0,1,1
101699,A. Samedov,MID,right,19840719,75,177,Russia,0,0,0
3433,D. Godín,DEF,right,19860216,79,187,Uruguay,0,0,0
69404,M. Kovačić,MID,right,19940506,77,178,Croatia,0,1,1
70095,C. Rodríguez,MID,left,19850930,84,177,Uruguay,0,0,0
299618,N. Nández,MID,right,19951228,69,171,Uruguay,0,0,0
103668,I. Kutepov,DEF,right,19930729,85,192,Russia,0,1,1
103682,R. Zobnin,MID,right,19940211,72,182,Russia,0,0,0
333571,L. Torreira,MID,right,19960211,64,168,Uruguay,0,0,0
105333,Willian,MID,right,19880809,75,175,Brazil,0,1,1
105339,Fernandinho,MID,right,19850504,67,179,Brazil,0,0,0
7939,A. Young,DEF,right,19850709,65,175,England,0,1,1
7964,J. Henderson,MID,right,19900617,67,182,England,0,0,0
8200,S. N'Zonzi,MID,right,19881215,75,196,France,0,0,0
8277,K. Walker,DEF,right,19900528,83,183,England,0,0,0
8292,D. Rose,DEF,left,19900702,76,174,England,0,0,0
8307,V. Kompany,DEF,right,19860410,85,193,Belgium,0,0,0
340386,Gabriel Jesus,FWD,right,19970403,67,175,Brazil,0,1,1
116349,M. Vecino,MID,right,19910824,82,187,Uruguay,0,0,0
51144,V. Claesson,MID,right,19920102,79,183,Sweden,0,1,1
20460,M. Cáceres,DEF,right,19870407,78,180,Uruguay,0,0,0
3431,João Miranda,DEF,right,19840907,76,186,Brazil,0,0,0
20876,A. Ekdal,MID,right,19890728,75,186,Sweden,0,0,0
14908,M. Berg,FWD,right,19860817,85,184,Sweden,0,0,0
28115,N. Fekir,MID,left,19930718,72,173,France,0,0,0
703,M. Yoshida,DEF,right,19880824,78,189,Japan,0,0,0
263802,Y. Tielemans,MID,right,19970507,72,176,Belgium,0,2,2
297957,M. Akanji,DEF,right,19950719,85,187,Switzerland,0,0,0
3269,Jordi Alba,DEF,left,19890321,68,170,Spain,0,0,0
3310,Marcelo,DEF,left,19880512,80,174,Brazil,0,0,0
3346,Sergio Busquets,MID,right,19880716,76,189,Spain,0,1,1
3384,A. Guardado,MID,left,19860928,67,169,Mexico,0,0,0
265673,Bernardo Silva,MID,left,19940810,64,173,Portugal,0,0,0
134769,Y. Carrasco,FWD,right,19930904,71,180,Belgium,0,0,0
70086,N. Otamendi,DEF,right,19880212,81,183,Argentina,0,0,0
70136,S. Arias,DEF,right,19920113,72,175,Colombia,0,0,0
70403,Adrien Silva,MID,right,19890315,69,175,Portugal,0,0,0
37762,William Carvalho,MID,right,19920407,83,187,Portugal,0,0,0
70965,João Mário,MID,right,19930119,67,173,Portugal,0,0,0
71703,V. Lindelöf,DEF,right,19940717,81,187,Sweden,0,0,0
235555,R. Loftus-Cheek,MID,right,19960123,83,191,England,0,1,1
237034,Gonçalo Guedes,FWD,right,19961129,70,179,Portugal,0,0,0
40756,Casemiro,MID,right,19920223,84,185,Brazil,0,0,0
8126,José Fonte,DEF,right,19831222,75,191,Portugal,0,0,0
8317,David Silva,MID,left,19860108,67,173,Spain,0,0,0
285396,C. Pavón,FWD,right,19960121,65,167,Argentina,0,0,0
8464,F. Delph,MID,left,19891121,60,174,England,0,0,0
8529,S. Larsson,MID,right,19850606,70,178,Sweden,0,0,0
116269,D. Laxalt,MID,left,19930207,66,178,Uruguay,0,0,0
11152,M. Dembélé,MID,left,19870716,88,185,Belgium,0,0,0
209091,C. Tolisso,MID,right,19940803,78,181,France,0,1,1
12829,J. Vardy,FWD,right,19870111,76,178,England,0,0,0
112366,M. Layún,DEF,right,19880625,68,179,Mexico,0,0,0
112459,H. Herrera,MID,right,19900419,74,180,Mexico,0,0,0
14771,V. Ćorluka,DEF,right,19860205,84,192,Croatia,0,0,0
40707,Fágner,DEF,right,19890611,67,168,Brazil,0,0,0
14922,R. Rodríguez,DEF,left,19920825,77,180,Switzerland,0,0,0
14929,M. Hasebe,MID,right,19840118,72,180,Japan,0,0,0
146459,M. Meza,MID,right,19921215,77,180,Argentina,0,0,0
51262,I. Kiese Thelin,FWD,right,19920624,83,189,Sweden,0,0,0
101647,F. Kudryashov,DEF,left,19870405,81,181,Russia,0,0,0
3355,J. Mascherano,DEF,right,19840608,73,174,Argentina,0,0,0
20517,Y. Nagatomo,DEF,right,19860912,68,170,Japan,0,1,1
20938,V. Behrami,MID,right,19850419,78,185,Switzerland,0,0,0
86722,N. Tagliafico,DEF,left,19920831,65,169,Argentina,0,0,0
25437,B. Matuidi,MID,left,19870409,70,175,France,0,0,0
282772,B. Embolo,FWD,right,19970214,86,184,Switzerland,0,1,1
255387,C. Salcedo,DEF,right,19930929,77,188,Mexico,0,0,0
91702,J. Mojica,DEF,left,19920821,66,179,Colombia,0,0,0
255738,J. Lerma,MID,right,19941025,70,179,Colombia,0,0,0
28907,Raphaël Guerreiro,DEF,left,19931222,71,170,Portugal,0,1,1
94828,G. Shibasaki,MID,right,19920525,62,175,Japan,0,1,1
69964,J. Pivarić,DEF,left,19890130,69,176,Croatia,0,0,0
336178,J. Gallardo,MID,left,19940815,76,176,Mexico,0,0,0
448210,E. Álvarez,DEF,right,19971024,73,185,Mexico,0,0,0
257762,D. Sánchez,DEF,right,19960612,79,187,Colombia,0,0,0
94695,H. Sakai,DEF,right,19900412,70,183,Japan,0,0,0
61949,M. Lustig,DEF,right,19861213,77,189,Sweden,0,0,0
54,C. Eriksen,MID,right,19920214,76,180,Denmark,0,1,1
142,K. El Ahmadi,MID,right,19850127,78,179,Morocco,0,0,0
32968,N. Amrabat,FWD,right,19870331,77,178,Morocco,0,0,0
16443,L. Balogun,DEF,right,19880628,81,190,Nigeria,0,0,0
383,D. Tadić,MID,left,19881120,76,181,Serbia,0,1,1
230020,A. Iwobi,MID,right,19960503,75,180,Nigeria,0,0,0
198120,Ali Gabr,DEF,right,19890110,84,193,Egypt,0,0,0
99833,B. Bereszyński,DEF,right,19920712,77,183,Poland,0,0,0
99902,P. Zieliński,MID,right,19940520,75,180,Poland,0,0,0
265366,W. Ndidi,MID,right,19961216,80,187,Nigeria,0,0,0
396475,A. Hakimi,DEF,right,19981104,68,179,Morocco,0,0,0
3280,É. Banega,MID,right,19880629,71,174,Argentina,0,1,1
3323,G. Higuaín,FWD,right,19871210,82,184,Argentina,0,0,0
3443,Koke,MID,right,19920108,73,177,Spain,0,0,0
265865,S. Milinković-Savić,MID,right,19950227,80,192,Serbia,0,0,0
3795,H. Moreno,DEF,left,19880117,80,183,Mexico,0,0,0
135103,A. Christensen,DEF,right,19960410,78,188,Denmark,0,0,0
135207,H. Magnússon,DEF,left,19930211,77,190,Iceland,0,0,0
4501,Daniel Carvajal,DEF,right,19920111,73,173,Spain,0,1,1
70093,João Moutinho,MID,right,19860908,61,170,Portugal,0,1,1
70096,J. Rodríguez,MID,left,19910712,75,180,Colombia,0,2,2
70122,N. Matić,MID,left,19880801,84,194,Serbia,0,0,0
135810,M. Pjaca,FWD,right,19950506,81,186,Croatia,0,0,0
